Video,Date,View,Action,Frame,Time_Sec,Faults
260121_舉球_14_01_L_240.mov,260121,L,站定準備,325,10.852775,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,841,28.061727,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,1452,48.410795,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,1971,65.723743,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,2511,83.713454,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,3032,101.091516,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,3545,118.198263,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,4051,135.047984,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,4561,152.045515,"nan"
260121_舉球_14_01_L_240.mov,260121,L,站定準備,5201,173.398601,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,353,11.786258,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,578,19.295501,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,638,21.280752,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),665,22.194943,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),665,22.194943,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),693,23.1247,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),696,23.224698,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,939,31.315134,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1028,34.267312,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1100,36.667288,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),1142,38.067274,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),1144,38.13394,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),1170,39.001482,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),1175,39.168147,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,1494,49.806677,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1560,52.016503,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,1649,54.981878,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),1689,56.315198,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),1692,56.415193,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),1711,57.048517,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),1716,57.215182,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,2053,68.441983,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2123,70.790849,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2186,72.890828,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),2224,74.1348,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),2230,74.334798,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),2253,75.126314,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),2258,75.292979,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,2546,84.88181,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2615,87.183709,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,2675,89.168585,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),2728,90.954405,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),2729,90.987738,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),2749,91.654398,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),2753,91.78773,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,3103,103.451438,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3148,104.956407,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3218,107.267848,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),3282,109.404389,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),3284,109.471055,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),3302,110.072946,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),3306,110.206278,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,3587,119.581575,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3677,122.59336,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,3740,124.671745,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),3778,125.961991,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),3782,126.084345,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),3803,126.773091,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),3808,126.939756,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,4095,136.520353,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4171,139.051127,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4257,141.903303,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),4296,143.226508,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),4298,143.293174,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),4321,144.049718,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),4326,144.216383,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,4623,154.117832,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4678,155.949772,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,4776,159.231323,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),4822,160.765861,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),4833,161.128563,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),4849,161.634442,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),4852,161.73444,"nan"
260121_舉球_14_01_R_240.mov,260121,R,站定準備,5219,173.982181,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,5298,176.614207,"nan"
260121_舉球_14_01_R_240.mov,260121,R,步伐腳跟著地,5350,178.342982,"nan"
260121_舉球_14_01_R_240.mov,260121,R,卡位(完成轉身等待接球),5394,179.807097,"nan"
260121_舉球_14_01_R_240.mov,260121,R,蹲下(位於最低點),5395,179.840427,"nan"
260121_舉球_14_01_R_240.mov,260121,R,手觸球(瞬間),5413,180.447071,"nan"
260121_舉球_14_01_R_240.mov,260121,R,球離手(瞬間),5418,180.613735,"nan"
260121_舉球_14_02_L_240.mov,260121,L,站定準備,306,10.231595,""
260121_舉球_14_02_L_240.mov,260121,L,步伐腳跟著地,677,22.587942,""
260121_舉球_14_02_L_240.mov,260121,L,步伐腳跟著地,739,24.664759,""
260121_舉球_14_02_L_240.mov,260121,L,卡位(完成轉身等待接球),771,25.724413,""
260121_舉球_14_02_L_240.mov,260121,L,蹲下(位於最低點),772,25.757746,""
260121_舉球_14_02_L_240.mov,260121,L,手觸球(瞬間),792,26.429986,""
260121_舉球_14_02_L_240.mov,260121,L,球離手(瞬間),797,26.596651,""
260121_舉球_14_02_L_240.mov,260121,L,站定準備,1521,50.731175,""
260121_舉球_14_02_L_240.mov,260121,L,步伐腳跟著地,1647,54.91812,""
260121_舉球_14_02_L_240.mov,260121,L,步伐腳跟著地,1706,56.890489,""
