Video,Date,View,Action,Frame,Time_Sec,Faults
260113_舉球_13_01_L_240.mov,260113,L,站定準備,138,4.6,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,217,7.262964,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,231,7.733328,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,244,8.16666,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),271,9.050561,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),281,9.370104,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),292,9.744964,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),300,10.021844,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,632,21.087166,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,662,22.099933,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,716,23.88636,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,748,24.966655,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),772,25.766658,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),781,26.066663,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),809,26.991838,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),814,27.166662,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,1140,38.033308,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,1178,39.299967,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,1223,40.799984,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,1262,42.099971,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),1297,43.266661,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),1308,43.633329,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),1333,44.438117,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),1336,44.566663,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,1627,54.247981,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,1688,56.267213,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,1713,57.133324,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,1753,58.466644,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),1779,59.309544,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),1806,60.233324,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),1831,61.035774,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),1836,61.230268,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,2149,71.649136,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,2182,72.766662,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,2236,74.566648,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,2282,76.099984,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),2313,77.133322,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),2329,77.659679,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),2360,78.696692,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),2367,78.906436,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,2632,87.754906,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,2679,89.307568,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,2728,90.96665,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,2764,92.166638,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),2795,93.199989,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),2831,94.399977,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),2850,95.007702,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),2855,95.199998,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,3131,104.399973,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,3172,105.766614,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,3237,107.902987,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,3290,109.699982,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),3316,110.566657,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),3325,110.844148,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),3344,111.499993,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),3350,111.699999,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,3656,121.899969,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,3703,123.46662,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,3763,125.434204,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,3803,126.799986,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),3822,127.433326,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),3836,127.872102,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),3858,128.611837,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),3861,128.733325,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,4199,139.999954,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,4269,142.333274,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,4342,144.737531,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,4385,146.199985,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),4412,147.09999,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),4420,147.336114,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),4438,147.947998,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),4440,148.007583,"nan"
260113_舉球_13_01_L_240.mov,260113,L,站定準備,4560,152.033321,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,4570,152.366651,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,4587,152.920809,"nan"
260113_舉球_13_01_L_240.mov,260113,L,步伐腳跟著地,4596,153.23333,"nan"
260113_舉球_13_01_L_240.mov,260113,L,卡位(完成轉身等待接球),4598,153.279694,"nan"
260113_舉球_13_01_L_240.mov,260113,L,蹲下(位於最低點),4604,153.499997,"nan"
260113_舉球_13_01_L_240.mov,260113,L,手觸球(瞬間),4610,153.699999,"nan"
260113_舉球_13_01_L_240.mov,260113,L,球離手(瞬間),4611,153.733331,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,117,3.930412,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,242,8.086907,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,1218,40.623112,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,2169,72.30146,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,3233,107.799987,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,4209,140.313854,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,5207,173.584653,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,6248,208.270644,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,7357,245.264926,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,8483,282.768459,"nan"
260113_舉球_13_01_R_240.mov,260113,R,站定準備,9449,314.973198,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,164,5.482272,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,174,5.832955,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,189,6.333328,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,199,6.666658,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),206,6.883912,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),210,7.017244,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),212,7.099999,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),213,7.13333,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,294,9.833302,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,305,10.198546,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,315,10.533324,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,324,10.833321,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),330,11.033293,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),335,11.17294,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),340,11.343522,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),342,11.410188,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,425,14.199992,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,430,14.358185,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,444,14.833328,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,454,15.166658,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),465,15.522076,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),466,15.566666,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),471,15.733331,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),473,15.799997,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,541,18.066647,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,554,18.486167,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,567,18.933328,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,578,19.299991,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),581,19.369291,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),588,19.63333,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),595,19.866658,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),597,19.933324,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,672,22.433327,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,681,22.732923,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,697,23.266661,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,709,23.666657,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),712,23.734783,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),717,23.901448,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),728,24.268111,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),730,24.334777,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,792,26.433324,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,807,26.913337,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,821,27.399995,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,830,27.699992,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),837,27.928036,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),844,28.161367,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),851,28.394698,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),853,28.461364,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,922,30.766661,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,931,31.038888,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,945,31.533328,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,960,32.033323,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),969,32.3202,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),970,32.353533,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),975,32.520511,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),977,32.587176,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,1051,35.066658,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1064,35.486484,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1079,35.999994,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1090,36.366657,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),1094,36.48732,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),1097,36.587319,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),1103,36.787314,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),1104,36.820647,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,1188,39.63332,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1209,40.311563,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1222,40.766662,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1235,41.199991,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),1243,41.444091,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),1244,41.477424,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),1248,41.610756,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),1250,41.677422,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,1333,44.466659,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1345,44.866665,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1357,45.266662,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1370,45.699991,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),1376,45.877565,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),1379,45.977564,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),1384,46.144228,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),1386,46.210894,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,站定準備,1507,50.266661,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1516,50.546339,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1530,51.033328,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,步伐腳跟著地,1540,51.366658,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,卡位(完成轉身等待接球),1548,51.603981,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,蹲下(位於最低點),1550,51.670645,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,手觸球(瞬間),1554,51.803977,"nan"
260113_舉球_13_01_X_30.mp4,260113,X,球離手(瞬間),1555,51.837308,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,163,5.459319,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,294,9.830765,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,423,14.113267,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,545,18.168907,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,675,22.503755,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,794,26.485906,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,911,30.380098,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,1051,35.044475,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,1187,39.596915,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,1332,44.403042,"nan"
260113_舉球_13_01_Y_30.mp4,260113,Y,站定準備,1508,50.298082,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,55,1.835675,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,101,3.38746,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),128,4.293291,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),135,4.526622,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),141,4.72662,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),143,4.793286,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,209,6.999989,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,226,7.564017,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,254,8.499987,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,291,9.733308,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),321,10.729051,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),324,10.82905,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),351,11.729041,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),358,11.962372,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,642,21.433284,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,682,22.756894,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,743,24.799979,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,783,26.133299,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),803,26.782328,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),814,27.148991,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),854,28.499986,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),856,28.566652,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,1105,36.866628,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,1153,38.438884,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,1217,40.599978,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,1266,42.233295,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),1294,43.134514,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),1297,43.234513,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),1328,44.282817,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),1335,44.516148,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,1592,53.099945,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,1654,55.134581,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,1703,56.799983,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,1742,58.09997,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),1764,58.816955,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),1775,59.183618,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),1817,60.582642,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),1821,60.715974,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,2153,71.799906,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,2195,73.194611,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,2240,74.699984,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,2282,76.09997,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),2287,76.244114,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),2318,77.267013,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),2339,77.985569,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),2347,78.252233,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,2643,88.133299,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,2690,89.695163,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,2746,91.566647,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,2796,93.233297,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),2815,93.850823,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),2821,94.050821,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),2857,95.242079,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),2861,95.375411,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,3174,105.8333,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,3217,107.237687,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,3273,109.133314,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,3309,110.333302,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),3336,111.228837,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),3349,111.662166,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),3388,112.956308,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),3395,113.189639,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,3621,120.733282,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,3694,123.16252,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,3757,125.266645,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,3789,126.333297,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),3817,127.244603,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),3845,128.188205,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),3877,129.250228,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),3885,129.516888,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,4113,137.133291,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,4172,139.090268,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,4238,141.299977,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,4282,142.766629,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),4312,143.76143,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),4321,144.061427,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),4353,145.132981,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),4359,145.332979,"nan"
260113_舉球_13_02_L_240.mov,260113,L,站定準備,4464,148.833311,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,4471,149.051149,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,4526,150.899977,"nan"
260113_舉球_13_02_L_240.mov,260113,L,步伐腳跟著地,4535,151.199966,"nan"
260113_舉球_13_02_L_240.mov,260113,L,卡位(完成轉身等待接球),4543,151.447539,"nan"
260113_舉球_13_02_L_240.mov,260113,L,蹲下(位於最低點),4545,151.514204,"nan"
260113_舉球_13_02_L_240.mov,260113,L,手觸球(瞬間),4549,151.647536,"nan"
260113_舉球_13_02_L_240.mov,260113,L,球離手(瞬間),4550,151.680867,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,107,3.586353,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,224,7.484979,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,1029,34.301275,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,1979,65.989184,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,2935,97.861099,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,4010,133.679658,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,5031,167.722741,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,6073,202.449248,"nan"
260113_舉球_13_02_R_240.mov,260113,R,站定準備,6984,232.800429,"nan"
